,ID,phi,t,f,P,mw,w10m,v,r,rf
300,2022,119.05,9,1.91E-05,982.5,57.5,11.18,19.69460987,222.8961918,74.67
301,2022,118.5,12,1.91E-05,980,60,8.47,19.69460987,280.1463791,53.85
302,2022,117.9,15,1.90E-05,980,60,7.24,21.56955715,342.43494,38.97
303,2022,117.3,18,1.89E-05,980,60,6.42,21.57460775,405.5327466,35.79
304,2022,116.8,21,1.90E-05,980,60,5.62,18.00368269,459.4377656,17.13
305,2022,116.3,24,1.91E-05,980,60,4.96,17.99946717,513.3196838,11.43
306,2018,126.9,-24,1.69E-05,993,47.5,1.24,0,649.0130773,36.96
307,2018,126.4,-21,1.69E-05,992,50,1.34,18.04815257,596.217878,26.31
308,2018,125.55,-18,1.69E-05,988.5,55,1.54,30.68185937,507.1194499,11.94
309,2018,124.7,-15,1.69E-05,985,60,1.45,30.68185937,419.2961863,2.01
310,2018,123.95,-12,1.68E-05,980,65,2.06,27.14093224,345.9700141,3.51
311,2018,123.2,-9,1.67E-05,975,70,2.57,27.1465164,277.1245714,12.57
312,2018,122.5,-6,1.66E-05,975,70,2.79,25.55735202,224.8813303,20.4
313,2018,121.8,-3,1.65E-05,975,70,3.58,25.56755566,189.9025536,19.92
314,2018,121.1,0,1.65E-05,975,70,5.06,25.36096204,165.8505467,27.3
315,2018,120.4,3,1.66E-05,975,70,6.73,25.35580956,174.7219981,62.85
316,2018,119.6,6,1.67E-05,975,67.5,9.56,29.12484084,216.0796883,24.75
317,2018,118.8,9,1.69E-05,975,65,11.81,29.11297602,279.4221606,10.38
318,2018,118.15,12,1.69E-05,970,70,8.27,23.46259834,342.3961543,8.25
319,2018,117.5,15,1.69E-05,965,75,6.74,23.46259834,407.8019035,19.26
320,2018,116.75,18,1.69E-05,960,77.5,5.62,27.07222885,485.0064766,51.33
321,2018,116,21,1.69E-05,955,80,5.26,27.07222885,563.3404589,13.29
